Title,Author,Rating,IMG_URL
ნორვეგიული დღიური,"Kikodze, Archil",4.39,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601152911l/55462822._SX50_.jpg
შავი ჭირი,"Camus, Albert",4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342890783l/15763365._SX50_.jpg
კარი კედელში,"Wells, H.G.",3.85,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568016061l/52906708._SX50_SY75_.jpg
კანიბალიადა,"Bakhsoliani, Misha",3.73,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575713741l/49119248._SY75_.jpg
"მკვლელობები ანბანის მიხედვით
        (Hercule Poirot, #13)","Christie, Agatha",4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614343489l/57214326._SX50_.jpg
"Fire Falling
        (Air Awakens, #2)","Kova, Elise",4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440388938l/26047438._SY75_.jpg
"რესტორანი სამყაროს დასალიერში
        (Hitchhiker's Guide to the Galaxy, #2)","Adams, Douglas",4.21,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525677990l/40053753._SX50_.jpg
"Air Awakens
        (Air Awakens, #1)","Kova, Elise",4.01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432967839l/23127048._SY75_.jpg
"აქ და ახლა - წერილები
        (2008-2011)","Coetzee, J.M.",3.78,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361802534l/17415615._SX50_.jpg
ჩინური დღიური,"Archvadze, Koka",3.00,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565350281l/51073608._SX50_SY75_.jpg
სამგვარი სიყვარული,"Tsereteli, Akaki",3.65,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570640373l/50845373._SX50_SY75_.jpg
ჩაკლული სული,"Robakidze, Grigol",4.30,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354208238l/16179923._SX50_.jpg
Fear,"Zweig, Stefan",4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328692495l/6907482._SX50_.jpg
ყინულის დრაკონი,"Martin, George R.R.",3.76,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530103189l/40655535._SY75_.jpg
უსიერ ტყეში,"Akutagawa, Ryūnosuke",4.49,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329833910l/13494508._SX50_.jpg
რა შეემთხვა ღამით ძაღლს და სხვა უცნაური ამბები,"Haddon, Mark",3.89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463492475l/30214494._SY75_.jpg
მთელი ზაფხული ერთ დღეში,"Bradbury, Ray",4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451126592l/28353910._SX50_.jpg
მოხუცების ადგილი აქ არ არის,"McCarthy, Cormac",4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412239906l/23297008._SY75_.jpg
"ჰიჩჰაიკერის გზამკვლევი გალაქტიკაში
        (Hitchhiker's Guide to the Galaxy, #1)","Adams, Douglas",4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489319119l/34536609._SX50_.jpg
გოგონები,"Cline, Emma",3.49,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525199323l/40018892._SX50_.jpg
უცხო,"Camus, Albert",4.00,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358720078l/17264118._SY75_.jpg
ანტიგონე,"Anouilh, Jean",3.79,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579641129l/50618893._SX50_.jpg
შელოცვა რადიოთი,"Lortkipanidze, Niko",4.23,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
"ანტიგონე
        (The Theban Plays, #3)",Sophocles,3.67,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575373143l/49082876._SX50_.jpg
"მე, რობოტი...","Asimov, Isaac",4.21,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448652214l/27997953._SX50_.jpg
"ოიდიპოს მეფე
        (The Theban Plays, #1)",Sophocles,3.72,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573015700l/48716966._SX50_.jpg
ლეგენდა მძინარე ხეობაზე,"Irving, Washington",3.72,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519120315l/38643008._SX50_.jpg
ბენჯამინ ბატონის უცნაური ამბავი,"Fitzgerald, F. Scott",3.57,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515227414l/33801237._SY75_.jpg
იატაკქვეშეთის ჩანაწერები,"Dostoevsky, Fyodor",4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1455826100l/29219903._SX50_.jpg
ყოფის აუტანელი სიმსუბუქე,"Kundera, Milan",4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362311341l/17456841._SX50_.jpg
ჰამლეტი,"Shakespeare, William",4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466177893l/30638695._SX50_.jpg
კრძალვითა და ცახცახით,"Nothomb, Amélie",3.73,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331120349l/13515544._SY75_.jpg
ლამბალო და ყაშა,"Javakhishvili, Mikheil",4.48,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
"არიადნა, ალუბლის ბაღი
        (ტომი #2)","Chekhov, Anton",4.25,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571853571l/48564341._SX50_.jpg
ლემუელ გულივერის მოგზაურობა. კასრის ზღაპარი,"Swift, Jonathan",3.58,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444664713l/17227915._SX50_.jpg
Pigmalion,"Shaw, George Bernard",3.89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330971179l/13512426._SY75_.jpg
"განადგურების ბრძანება
        (The Maze Runner #4)","Dashner, James",3.71,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512635346l/33842581._SX50_.jpg
უცნობი ქალის წერილი,"Zweig, Stefan",4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316851884l/12708325._SX50_.jpg
მოხუცი და ზღვა,"Hemingway, Ernest",3.79,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474644730l/32186960._SY75_.jpg
როგორ გავხდი იდიოტი,"Page, Martin",3.39,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386578212l/19307397._SY75_.jpg
ვამპირული ომები: სიკვდილის მიღმა,"Davies, Katie Ruth",4.31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530105878l/40655722._SY75_.jpg
ცხოველების ფერმა,"Orwell, George",3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313953244l/12406793._SX50_.jpg
შაგრენის ტყავი,"Balzac, Honoré de",3.82,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490030009l/32485472._SX50_.jpg
ბიძია თომას ქოხი,"Stowe, Harriet Beecher",3.89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486374723l/34136398._SX50_.jpg
პაპა დიმო,"Javakhishvili, Mikheil",4.54,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451980437l/28453629._SY75_.jpg
მაგდანას ლურჯა,"Gabashvili, Ekaterine",3.58,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306235442l/11445885._SY75_.jpg
ბურატინოს თავგადასავალი,"Tolstoy, Aleksey Nikolayevich",4.05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466015328l/30628008._SX50_.jpg
ვამპირული ომები: აღსრულება,"Davies, Katie Ruth",4.31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497556697l/35441963._SY75_.jpg
ვამპირული ომები: მეორე სიცოცხლე,"Davies, Katie Ruth",4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447246685l/27799710._SY75_.jpg
"ელფების სისხლი
        (მხედვარი, #3)","Sapkowski, Andrzej",4.10,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468405038l/31111607._SX50_.jpg
"მეტრო 2033
        (METRO, #1)","Glukhovsky, Dmitry",4.00,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452681474l/25606033._SY75_.jpg
"უკანასკნელი სურვილი
        (მხედვარი, #1)","Sapkowski, Andrzej",4.14,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433630919l/25678164._SX50_.jpg
ენდერის თამაში,"Card, Orson Scott",4.30,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452531393l/28512282._SX50_.jpg
"შუშის ტახტი
        (Throne of Glass, #1)","Maas, Sarah J.",4.19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496659252l/33123765._SX50_.jpg
დორიან გრეის პორტრეტი,"Wilde, Oscar",4.10,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430326029l/25450922._SY75_.jpg
მესამე გოგონა,"Christie, Agatha",3.68,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466020459l/30628429._SX50_.jpg
ემილის თავგადასავალი,"Lindgren, Astrid",4.32,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486451472l/34166327._SX50_.jpg
მოგზაურობა დედამიწის ცენტრისაკენ,"Verne, Jules",3.86,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
ძმები ლომგულები,"Lindgren, Astrid",4.34,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458562811l/29566017._SX50_.jpg
ბნელი მატერია,"Crouch, Blake",4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1544597557l/43202797._SX50_.jpg
The Fall of the House of Usher - an Edgar Allan Poe Short Story,"Poe, Edgar Allan",3.93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387708966l/175516._SY75_.jpg
ვეფხისტყაოსანი [Vepkhistqaosani],"Rustaveli, Shota",4.62,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393344445l/17227753._SX50_.jpg
მკვლელობა აღმოსავლეთის ექსპრესში,"Christie, Agatha",4.19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466019394l/30628352._SX50_.jpg
ამოკით შეპყრობილი,"Zweig, Stefan",4.11,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
სხვისი ცოლი და ქმარი საწოლქვეშ,"Dostoevsky, Fyodor",3.08,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1538501825l/42117869._SX50_.jpg
დიდრო,"Dumbadze, Nodar",4.46,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
ბახტრიონი,Vazha-Pshavela,4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494440526l/35110150._SX50_.jpg
ფეხებზე დაკიდების ნატიფი ხელოვნება: ბედნიერების მიღწევის პარადოქსები,"Manson, Mark",3.91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585031239l/52662547._SY75_.jpg
ოზის ჯადოქარი,"Baum, L. Frank",3.99,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431027393l/25500707._SX50_.jpg
კაენი,"Saramago, José",3.95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520956889l/39215279._SY75_.jpg
თოლია ჯონათან ლივინგსტონი,"Bach, Richard",3.85,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1455841937l/29221246._SY75_.jpg
გარდასახვა,"Kafka, Franz",4.50,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457549132l/29471726._SX50_.jpg
1984,"Orwell, George",4.19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348990566l/5470._SY75_.jpg
ნასესხები სიცოცხლე,"Remarque, Erich Maria",4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521297082l/25896197._SX50_.jpg
დარისპანის გასაჭირი,"Kldiashvili, David",3.81,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495053161l/35161738._SX50_.jpg
გოგოთურ და აფშინა,Vazha-Pshavela,3.50,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477339039l/32736953._SY75_.jpg
სტუმარ მასპინძელი,Vazha-Pshavela,4.63,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1648113067l/15796357._SX50_.jpg
ალუდა ქეთელაური,Vazha-Pshavela,4.70,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474628323l/32185926._SX50_.jpg
ადამიანთა სევდა,Goderdzi Chokheli,4.63,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390665045l/17213098._SX50_.jpg
ნინოშვილის 25,"Tchanturia, Ilia",4.27,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545148544l/43262765._SY75_.jpg
"აქ ხარ, ღმერთო? ეს მე ვარ, მარგარეტი","Blume, Judy",3.91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432668235l/25605793._SY75_.jpg
შავი წყალი,"Oates, Joyce Carol",3.54,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401704959l/22391637._SX50_.jpg
მე და შენ,"Ammaniti, Niccolò",3.56,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575538026l/49100453._SY75_.jpg
ბოშური რომანსერო,"García Lorca, Federico",4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578685020l/50388695._SX50_.jpg
მატეო ფალკონე,"Mérimée, Prosper",3.73,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457448659l/29452311._SX50_.jpg
თაგვებსა და ადამიანებზე,"Steinbeck, John",3.88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443707640l/26846529._SX50_.jpg
ხიდი ტერაბითიაში,"Paterson, Katherine",4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424972407l/25025887._SX50_.jpg
"ბედისწერის მახვილი
        (მხედვარი, #2)","Sapkowski, Andrzej",4.28,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448740030l/28004122._SX50_.jpg
პროცესი,"Kafka, Franz",3.96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414177392l/23443962._SY75_.jpg
წყვდიადის მარცხენა ხელი,"Le Guin, Ursula K.",4.09,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432926508l/25626455._SX50_.jpg
გამზრდელი,"Tsereteli, Akaki",4.55,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
MOX,"Samniashvili, Dato",4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492004171l/34844840._SY75_.jpg
"რაზე ვლაპარაკობთ, როცა სიყვარულზე ვლაპარაკობთ ხოლმე","Carver, Raymond",4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508827073l/36467343._SY75_.jpg
ყორანი და სხვა ლექსები,"Poe, Edgar Allan",4.30,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562406017l/51037572._SX50_SY75_.jpg
გურული დღიურები,"Kekelidze, Giorgi",3.42,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431751246l/23547999._SY75_.jpg
ნორვეგიული ტყე,"Murakami, Haruki",4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432727239l/25609721._SX50_.jpg
"მე, ბებია, ილიკო და ილარიონი","Dumbadze, Nodar",4.55,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340911306l/15726695._SX50_.jpg
მე ვხედავ მზეს,"Dumbadze, Nodar",4.35,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448380206l/22908671._SX50_.jpg
ბაკულას ღორები,"Kldiashvili, David",3.84,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494430710l/24759416._SX50_.jpg
შავი კატა,"Poe, Edgar Allan",4.04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474640692l/32186663._SY75_.jpg
დარაჯები,"Moore, Alan",4.37,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521989948l/39468901._SX50_.jpg
დედის რძე,"Ikstena, Nora",4.31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546034747l/43384981._SX50_.jpg
თვინიერი,"Dostoevsky, Fyodor",4.35,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325235768l/13340092._SX50_.jpg
Romeo and Juliet,"Shakespeare, William",3.75,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629680008l/18135._SY75_.jpg
მეტისმეტად ხმაურიანი მარტოობა,"Hrabal, Bohumil",4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481183276l/33289202._SX50_.jpg
კილიმანჯაროს თოვლიანი მთა,"Hemingway, Ernest",3.85,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458472482l/29558441._SX50_.jpg
Notes on Nationalism,"Orwell, George",4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522454516l/39339934._SX50_.jpg
The Distance of the Moon,"Calvino, Italo",3.90,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519387686l/36436072._SX50_.jpg
Of Dogs and Walls,"Tsushima, Yūko",3.66,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517680170l/36436102._SX50_.jpg
დედამიწიდან მთვარემდე,"Verne, Jules",3.78,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
Around the World in Eighty Days,"Verne, Jules",3.94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308815551l/54479._SY75_.jpg
საიდუმლო კუნძული,"Verne, Jules",4.12,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
ვამპირული ომები: პირველი ნადირობა,"Davies, Katie Ruth",3.85,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447246489l/27799694._SY75_.jpg
ტრაგედია უგმიროთ - მოთხრობები,"Lortkipanidze, Niko",4.50,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483530168l/24759257._SX50_.jpg
თავსაფრიანი დედაკაცი,"Lortkipanidze, Niko",4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422610507l/24759157._SX50_.jpg
კლოუნის თვალთახედვა,"Böll, Heinrich",3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377990336l/17410492._SX50_.jpg
ბალადა მოქნილ ტყვიაზე,"King, Stephen",3.64,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488557639l/34455693._SX50_.jpg
ყვავილები ელჯერნონისთვის,"Keyes, Daniel",4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424972114l/25025844._SX50_.jpg
ბილი მილიგანის მრავალი გონება,"Keyes, Daniel",4.30,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449816273l/28171818._SX50_.jpg
ტანმოხატული კაცი,"Bradbury, Ray",4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424971916l/25025821._SY75_.jpg
"After You
        (Me Before You, #2)","Moyes, Jojo",3.73,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1539892322l/27774596._SY75_.jpg
პატარა მაწანწალა,"Greenwood, James",4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421916434l/24636568._SX50_.jpg
მაწანწალა რასმუსი,"Lindgren, Astrid",4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524554269l/30644489._SX50_.jpg
35 კილო იმედი,"Gavalda, Anna",3.81,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430200689l/25442289._SX50_.jpg
დისტოპიესები,"Lordkipanidze, Alexandre",4.27,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498217351l/35502154._SX50_.jpg
"დრო მიდის, კადრები კი რჩება","Gvazava, Luka",3.00,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566502140l/52300687._SX50_SY75_.jpg
სასაფლაოს წიგნი,"Gaiman, Neil",4.14,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479393913l/33001192._SY75_.jpg
ბერძნულ-რომაული მითები,"Mikeladze, Maka",3.67,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486375407l/34136443._SX50_.jpg
"ლომი, კუდიანი და გარდერობი
        (Chronicles of Narnia, #1)","Lewis, C.S.",4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448740192l/28004128._SX50_.jpg
"ჯადოქრის დისწული (The Chronicles of Narnia
        (The Chronicles of Narnia (Publication Order) #6)","Lewis, C.S.",4.04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444562227l/27126703._SY75_.jpg
"მაძიებელი - ჯადოქრის პირველი კანონი II
        (ჭეშმარიტების მახვილი #1 ნაწილი 1)","Goodkind, Terry",4.10,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472466757l/31699289._SY75_.jpg
